number,Name,Address,Location,Timings,PhoneNumber,Rating,NumberofRatings
109,Sampatchak,"Ground Floor, Gopalpur Thana, Near Reliance Trends, Sampatchak, Patna, Bihar, 800007",Bihar,09:00 AM to 08:00 PM,9582921302,5.0,120
110,Nala Road,"R K Avenue, Nala Road, Near Durga Mandir, Patna, Bihar, 800004",Bihar,10:30 AM to 08:30 PM,7428890246,4.5,800
111,Rajeev Nagar,"Shyam Smirti Enclave, Rajeev Nagar, Near V Mart, Patna, Bihar, 800024",Bihar,10:30 AM to 08:30 PM,8929328703,4.9,520
112,Raja Bazar,"Shop No 4, Ground Floor, Rk Estate, Pillar 62, Raja Bazar, Opposite Igims, Patna, Bihar, 800014",Bihar,10:30 AM to 09:00 PM,7428890255,4.7,667
113,Motihari,"Bank Road, Chhatauni, Mega Mall, Rajendra Nagar, Motihari, Chhatauni, In Front Of Rehman Hospital, Champaran, Bihar, 845401",Bihar,10:00 AM to 08:30 PM,7303743744,4.9,1233
114,"Club Road, Muzaffarpur","Savita Complex, Mithanpura, Club Road, Ramna, Mithanpura, Opposite Mddm College, Muzaffarpur, Bihar, 842002",Bihar,10:30 AM to 08:30 PM,7428890274,4.8,976
115,Buxar,"Main Road Chowk, Thatheri Bazar, Near Reliance Trends, Buxar, Bihar, 802101",Bihar,10:30 AM to 08:30 PM,8929334374,4.9,849
116,Khaliphabag Chowk,"Shop No G5, Anshi Series City Complex, , Khaliphabag Chowk, Near Police Station Kotwali, Bhagalpur, Bihar, 812001",Bihar,10:30 AM to 08:30 PM,7428890293,4.9,1640
117,Anisabad,"Sumaya Residency, Ground Floor, Shop Bearing Nos G2 And G3, Khagaul Road, Phulwarisharif, Near Mahavir Institute And Research Centre, Patna, Bihar, 801505",Bihar,10:30 AM to 08:30 PM,8447918928,4.9,391
118,Aurangabad,"Mg Road, Near Bank Of India, Mg Road, Aurangabad, Bihar, 824101",Bihar,10:30 AM to 08:30 PM,8929160805,4.9,453
119,Phulwarisharif,"Ground Floor, Opposite Citycart, Golamber, Phulwarisharif, Patna, Bihar, 801505",Bihar,10:30 AM to 08:30 PM,9953648294,4.9,170
120,Mirzapur,"Ward No 20, Lalbagh, Mirzapur, Near Poonam Cinema, Darbhanga, Bihar, 846004",Bihar,10:30 AM to 08:30 PM,9582370306,4.9,491
121,Mudichur,"No 20, Rathana Complex, Sri Ram Nagar, Mudichur Road, Tambaram West, Mudichur, Next To More Supre Market, Chennai, Tamil Nadu, 600045",Chennai,11:00 AM to 09:30 PM,9319372753,4.9,1256
122,Nungambakkam,"Door No 125/1, Rose Wood Office, Nungambakkam High Road, Nungambakkam, Opposite Teresa Church, Chennai, Tamil Nadu, 600034",Chennai,11:00 AM to 09:30 PM,8929346301,4.9,2022
123,Jawahar Nagar,"Plot No B95, Old Door 37, New Door 22, First Main Road, Jawahar Nagar, Near Max Showroom, Chennai, Tamil Nadu, 600082",Chennai,11:00 AM to 09:30 PM,7428891107,4.9,1147
124,Perumbakkam,"G1, Plot No 3, Vgp Prabhu Nagar, Perumbakkam, Opposite Advent Church, Chennai, Tamil Nadu, 600100",Chennai,11:00 AM to 09:00 PM,7428891108,4.9,1684
125,100ft Bypass Road Velachery,"No 1 & 2 Main Road, Venkateswara Nagar, 100Ft Bypass Road, Velachery, Chennai, Tamil Nadu, 600042",Chennai,11:00 AM to 09:30 PM,8929345177,4.9,1503
126,Saligramam,"No 71, 1, Arcot Road, Vadapalani, Vadapalani, Chennai, Tamil Nadu, 600026",Chennai,11:00 AM to 09:30 PM,7303440441,4.9,2189
127,Redhills,"183/16 Gnt Road, Redhills, Near Annamalai Cell City, Chennai, Tamil Nadu, 600052",Chennai,10:30 AM to 09:30 PM,9319372360,4.9,1496
128,Nanganallur,"38/13, 1St Main Road, Macmillan Colony, Nanganallur, Chennai, Tamil Nadu, 600061",Chennai,11:00 AM to 09:30 PM,9667253254,4.9,3668
129,Perambur Moolakadai,"No 14, Madhavaram High Road Sembiam, Moolakadai, Perambur Road, Madhavaram, Opposite Simpon Gate No 1, Chennai, Tamil Nadu, 600011",Chennai,11:00 AM to 09:30 PM,8929328704,4.9,1970
130,Selaiyur,"27, Agaram Main Road, Ranganatha Nagar, Selaiyur, Chennai, Tamil Nadu, 600073",Chennai,11:00 AM to 09:30 PM,9319375434,4.9,1564
131,Kandanchavadi,"New No 08, Old No 6/169 Mgr Main Road, Govindaswamy Nagar 5Th Street, Kandanchavadi, Next To Gem Hospital, Chennai, Tamil Nadu, 600096",Chennai,11:00 AM to 09:30 PM,7065043626,5.0,1281
132,Kanathur,"# 415, Ecr Road, Next To Amet University, Kanathur, Chennai, 603112",Chennai,11:00 AM to 09:00 PM,8929347327,4.9,497
