Product ID,Product Image URL,Product URL,Product Color,Product Size,Product Width,Market Price,Lenskart Price,Product Brand Name,Product Rating,Total Ratings
217443,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/peyush-bansal-shark-tank-turquoise-full-rim-lenskart-hustlr-eyeglasses_csvfile-1709546300369-img_2550.jpg,https://www.lenskart.com/lenskart-hustlr-lb-e14058-w-c52-eyeglasses.html,Turquoise,Medium,139 mm,1700,1700,Lenskart Hustlr,0.0,
211509,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e16190-c1-eyeglasses_img_8424_13_12_2023.jpg,https://www.lenskart.com/vincent-chase-vc-e16190-c1-eyeglasses.html,Silver,Medium,136 mm,1700,1700,Vincent Chase,3.0,1
211941,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/lenskart-air-la-e16239-c2-eyeglasses_img_6398_20_12_2023.jpg,https://www.lenskart.com/lenskart-air-la-e16239-c2-eyeglasses.html,Brown,Wide,139 mm,1700,1700,Lenskart Air,0.0,
211391,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/transparent-green-full-rim-rectangle-lenskart-air-essentials-la-e16156-c2-eyeglasses_g_9587_18_08_2023.jpg,https://www.lenskart.com/lenskart-air-la-e16156-c2-eyeglasses.html,Transparent,Narrow,132 mm,1700,1700,Lenskart Air,0.0,
210154,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//l/i/gunmetal-gunmetal-grey-full-rim-round-lenskart-air-switch-la-e14397-c4-eyeglasses_g_1084_13_09_2023.jpg,https://www.lenskart.com/lenskart-air-la-e14397-c4-eyeglasses.html,Gunmetal,Medium,135 mm,3000,3000,Lenskart Air,0.0,
205503,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//v/i/green-transparent-full-rim-square-vincent-chase-essential-vc-e15205-c7-eyeglasses_g_4556_10_20_22.jpg,https://www.lenskart.com/vincent-chase-vc-e15205-c7-eyeglasses.html,Green Transparent,Wide,139 mm,1700,1700,Vincent Chase Online,4.7,10
207046,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/gold-tortoise-brown-full-rim-square-john-jacobs-jj-rhapsody-jj-s15454-c2-sunglasses_g_2951_02_13_23.jpg,https://www.lenskart.com/john-jacobs-jj-s15454-c2-sunglasses.html,Gold Tortoise,Extra Wide,146 mm,6000,6000,John Jacobs,5.0,1
212353,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/john-jacobs-jj-e16353-c1-eyeglasses_img_3202_04_11_2023.jpg,https://www.lenskart.com/john-jacobs-jj-e16353-c1-eyeglasses.html,Black,Wide,150 mm,5000,5000,John Jacobs,0.0,
216853,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/brown-tortoise-full-rim-square-john-jacobs-rich-acetate-jj-e16890-c2-eyeglasses_img_0715_15_03_2024.jpg,https://www.lenskart.com/john-jacobs-jj-e16890-c2-eyeglasses.html,Tortoise,Wide,140 mm,5000,5000,John Jacobs,0.0,
143354,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/628x301/9df78eab33525d08d6e5fb8d27136e95//j/i/gunmetal-black-full-rim-square-john-jacobs-supreme-steel-jj-e13467-c2-eyeglasses_g_9272_13_jan_23.jpg,https://www.lenskart.com/john-jacobs-jj-e13467-c2-eyeglasses.html,Gunmetal,Medium,135 mm,3500,3500,John Jacobs,4.6,33
